159162009	C0260091	paleontólogo
159135001	C0260095	parasitólogo
37154003	C0260115	periodoncista
37154003	C0260115	especialista en periodoncia
159040006	C0260119	técnico de farmacia
31641003	C0260120	farmacólogo
24430003	C0260138	fisiatra
24430003	C0260138	especialista en fisiatría
78841004	C0260141	fisiólogo
159034004	C0260145	podiatra
66862007	C0260194	radiólogo
160498000	C0260267	niño en edad escolar
49993003	C0260272	cirujano maxilofacial
159236005	C0260280	técnico
136470003	C0260280	tecnólogo
136470003	C0260280	Technologist NOS
386626000	C0260281	técnico médico de laboratorio clínico
386626000	C0260281	tecnólogo clínico
24590004	C0260314	urólogo
40204001	C0278598	hematólogo
39677007	C0278602	especialista en medicina interna
39677007	C0278602	internista
3430008	C0278604	radioncólogo
3430008	C0278604	radioterapeuta
22983004	C0278626	cirujano torácico
309336000	C0279158	oncólogo pediátrico
8724009	C0279538	cirujano plástico
159003003	C0302833	escuela de enfermeras
106255003	C0334706	físico Y/O técnico afín con la especialidad
106256002	C0334707	químico
20662002	C0334708	químico, general
52999008	C0334709	químico especialista en química orgánica
86952006	C0334710	químico especialista en química inorgánica
76183004	C0334711	químico físico
16215006	C0334712	químico analítico
35397004	C0334713	otro químico
35397004	C0334713	otras especialidades de la química
14928008	C0334714	físico (general)
74114001	C0334715	físico especialista en mecánica
8602000	C0334716	físico especializado en calor
8602000	C0334716	físico especializado en fenómenos térmicos
26676005	C0334717	físico especializado en luz
26676005	C0334717	físico especializado en fenómenos lumínicos
80842003	C0334718	físico especializado en sonido
80842003	C0334718	físico especializado en fenómenos acústicos
6306001	C0334719	físico especializado en electricidad y magnetismo
6306001	C0334719	físico especializado en fenómenos electromagnéticos
90322004	C0334720	físico especialista en electrónica
42521000	C0334721	físico nuclear
4615003	C0334722	otro físico
4615003	C0334722	físicos especializados en otros campos
106258001	C0334723	científico especialista en física
159158003	C0334723	científico físico
136364005	C0334723	Physical scientist NOS
112243004	C0334724	científico especialista en geología
136371000	C0334724	científico geólogo
136371000	C0334724	Geological scientist NOS
86775007	C0334725	meteorólogo
86775007	C0334725	científico especialista en meteorología
81779000	C0334726	astrónomo
81779000	C0334726	científico especialista en astronomía
80708003	C0334727	otro científico especialista en física
80708003	C0334727	otros científicos especialistas en física
19667001	C0334730	técnico especialista en física
106259009	C0334730	técnico en ciencia física
106259009	C0334730	técnico en ciencia física (concepto no activo)
106260004	C0334732	arquitecto, ingeniero o técnico afín
106260004	C0334732	arquitectos, ingenieros Y/O técnicos similares
106261000	C0334733	arquitecto Y/O urbanista
159268002	C0334733	urbanista/arquitecto
136502007	C0334733	Town planner/architect NOS
48330003	C0334734	arquitecto de obras
63502007	C0334735	urbanista
69731003	C0334736	paisajista
106262007	C0334738	ingeniero civil
29777006	C0334738	ingeniero civil (general)
136390008	C0334738	Civil engineer NOS
36404007	C0334739	ingeniero en construcción
75707002	C0334740	ingeniero en construcción de rutas y caminos
326009	C0334741	ingeniero en construcción de aeródromos
56605006	C0334742	ingeniero en construcción de ferrocarriles
65793006	C0334743	ingeniero en construcción de puentes
69965009	C0334744	ingeniero hidráulico
53137000	C0334745	ingeniero mecánico especialista en suelos
53374005	C0334746	otro ingeniero civil
53374005	C0334746	otros ingenieros civiles
106263002	C0334747	ingeniero eléctrico Y/O electrónico
236300002	C0334748	ingeniero electricista
25965004	C0334748	ingeniero eléctrico (general)
136431009	C0334748	ingeniero eléctrico
136431009	C0334748	Electrical engineer NOS
26465001	C0334749	ingeniero electrónico (general)
26465001	C0334749	ingeniero electrónico
87261009	C0334750	ingeniero en electricidad
87261009	C0334750	ingeniero especialista en generación de energía eléctrica
76945004	C0334751	ingeniero especializado en distribución y transmisión de energía
41705009	C0334752	ingeniero en telecomunicaciones
81617000	C0334753	otro ingeniero especialista en electricidad y electrónica
81617000	C0334753	otros ingenieros especialistas en electricidad y electrónica
106264008	C0334754	ingeniero mecánico
106264008	C0334754	ingeniero especialista en mecánica
136409001	C0334754	Mechanical engineer NOS
29410004	C0334755	ingeniero mecánico (general)
54678006	C0334756	ingeniero especializado en maquinaria y herramientas industriales
54678006	C0334756	ingeniero especilizado en maquinaria y herramientas industriales
4221007	C0334757	ingeniero mecánico especializado en motores y generadores, excepto los de uso en el ámbito marino
45870003	C0334758	ingeniero especialista en marina
74059006	C0334759	ingeniero especialista en construcción naval
91091000	C0334760	ingeniero especialista en aeronáutica
159198001	C0334760	ingeniero aeronáutico - general
136420001	C0334760	ingeniero aeronáutico
136420001	C0334760	Aeronautical engineer NOS
35414008	C0334761	ingeniero especialista en la industria automotriz
81047002	C0334762	ingeniero especialista en calefacción, ventilación y refrigeración
34769002	C0334763	ingeniero especialista en energía nuclear
54414009	C0334764	otro ingeniero mecánico
54414009	C0334764	otros ingenieros mecánicos
21230004	C0334765	ingeniero especialista en química (general)
106265009	C0334765	ingeniero especialista en química
106265009	C0334765	ingeniero químico
21230004	C0334765	ingeniero químico (general)
136442000	C0334765	Chemical engineer NOS
47882006	C0334766	ingeniero especialista en química (petróleo)
47882006	C0334766	ingeniero químico (petróleo)
16367007	C0334767	otro ingeniero químico
16367007	C0334767	otros ingenieros especialistas en química
16367007	C0334767	otros ingenieros químicos
106266005	C0334768	metalúrgico
43338007	C0334769	metalúrgico de la industria de extracción
28234000	C0334770	metalúrgico físico
34724008	C0334771	otro metalúrgico
34724008	C0334771	otros metalúrgicos
106267001	C0334773	ingeniero especialista en minería
13542000	C0334773	ingeniero especialista en minería (general)
30522001	C0334774	ingeniero especialista en minería de carbón
81815006	C0334775	ingeniero especialista en minería de metal
90200009	C0334776	ingeniero especialista en petróleo y gas natural
63458002	C0334777	otro ingeniero especialista en minería
63458002	C0334777	otros ingenieros especialistas en minería
106268006	C0334778	ingeniero industrial
3675000	C0334779	ingeniero especialista en eficacia industrial (general)
7474009	C0334780	ingeniero especialista en métodos
38639007	C0334781	ingeniero especialista en el estudio de tiempo y movimiento
27751005	C0334782	otro ingeniero industrial
27751005	C0334782	otros ingenieros industriales
54520008	C0334783	tecnólogo especialista en vidrio y cerámica
16305002	C0334784	ingeniero agrícola
58288008	C0334785	tecnólogo especialista en alimentos y bebidas
89697001	C0334786	planificador de tránsito
75929006	C0334787	ingeniero especialista en ventas
106270002	C0334789	topógrafo
136512000	C0334789	Surveyor NOS
78627005	C0334790	agrimensor, general
18976003	C0334791	agrimensor
59264001	C0334792	agrimensor en minería
35309008	C0334793	agrimensor hidrográfico
34300002	C0334794	fotogrametrista
44854005	C0334795	otro agrimensor
44854005	C0334795	otros agrimensores
106271003	C0334796	dibujante
136525008	C0334796	delineante
136525008	C0334796	Draughtsman NOS
136525008	C0334796	Draftsman NOS
72485002	C0334797	dibujante, general
16446008	C0334798	dibujante mecánico
